city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Delhi,28.6100,77.2300,India,IN,Delhi,admin,32226000,16753235
Mumbai,19.0761,72.8775,India,IN,Mahārāshtra,admin,24973000,12478447
Kolkāta,22.5675,88.3700,India,IN,West Bengal,admin,18502000,4496694
Bangalore,12.9789,77.5917,India,IN,Karnātaka,admin,15386000,8443675
Chennai,13.0825,80.2750,India,IN,Tamil Nādu,admin,12395000,6727000
Hyderābād,17.3850,78.4867,India,IN,Telangāna,admin,10494000,6993262
Pune,18.5203,73.8567,India,IN,Mahārāshtra,,8231000,3124458
Ahmedabad,23.0300,72.5800,India,IN,Gujarāt,minor,8009000,5570585
Sūrat,21.1702,72.8311,India,IN,Gujarāt,,6538000,4466826
Prayagraj,25.4358,81.8464,India,IN,Uttar Pradesh,,5954391,5954391
Lucknow,26.8500,80.9500,India,IN,Uttar Pradesh,admin,3382000,3382000
Jaipur,26.9000,75.8000,India,IN,Rājasthān,admin,3073350,3073350
Cawnpore,26.4499,80.3319,India,IN,Uttar Pradesh,,2701324,2701324
Mirzāpur,25.1460,82.5690,India,IN,Uttar Pradesh,,2496970,2496970
Nāgpur,21.1497,79.0806,India,IN,Mahārāshtra,admin,2405665,2405665
Ghāziābād,28.6700,77.4200,India,IN,Uttar Pradesh,,2375820,2375820
Vadodara,22.3000,73.2000,India,IN,Gujarāt,,2065771,2065771
Vishākhapatnam,17.7042,83.2978,India,IN,Andhra Pradesh,,2035922,2035922
Indore,22.7167,75.8472,India,IN,Madhya Pradesh,,1994397,1994397
Thāne,19.1972,72.9722,India,IN,Mahārāshtra,,1886941,1886941
Bhopāl,23.2500,77.4167,India,IN,Madhya Pradesh,admin,1798218,1798218
Chinchvad,18.6186,73.8037,India,IN,Mahārāshtra,,1729320,1729320
Patna,25.6000,85.1000,India,IN,Bihār,admin,1684222,1684222
Bilāspur,22.0900,82.1500,India,IN,Chhattīsgarh,,1625502,1625502
Ludhiāna,30.9100,75.8500,India,IN,Punjab,,1618879,1618879
Agwār,27.1800,78.0200,India,IN,Uttar Pradesh,,1585705,1585705
Āgra,27.1800,78.0200,India,IN,Uttar Pradesh,,1585704,1585704
Madurai,9.9252,78.1198,India,IN,Tamil Nādu,minor,1561129,1561129
Jamshedpur,22.7925,86.1842,India,IN,Jhārkhand,,1558000,1558000
Nāsik,20.0000,73.7800,India,IN,Mahārāshtra,,1486053,1486053
Farīdābād,28.4167,77.3000,India,IN,Haryāna,,1404653,1404653
Aurangābād,19.8800,75.3200,India,IN,Mahārāshtra,,1371330,1371330
Rājkot,22.3000,70.7833,India,IN,Gujarāt,,1335397,1335397
Meerut,28.9800,77.7100,India,IN,Uttar Pradesh,,1305429,1305429
Jabalpur,23.1667,79.9333,India,IN,Madhya Pradesh,,1267564,1267564
Kalamboli,19.2333,73.1333,India,IN,Mahārāshtra,,1246381,1246381
Vasai,19.4700,72.8000,India,IN,Mahārāshtra,,1222390,1222390
Najafgarh,28.6092,76.9798,India,IN,Delhi,,1203180,1203180
Vārānasi,25.3189,83.0128,India,IN,Uttar Pradesh,,1198491,1198491
Srīnagar,34.0900,74.7900,India,IN,Jammu and Kashmīr,admin,1180570,1180570
Dhanbād,23.7998,86.4305,India,IN,Jhārkhand,,1162472,1162472
Amritsar,31.6400,74.8600,India,IN,Punjab,,1132383,1132383
Alīgarh,27.8800,78.0800,India,IN,Uttar Pradesh,,1131160,1131160
Guwāhāti,26.1722,91.7458,India,IN,Assam,,1116267,1116267
Hāora,22.5800,88.3294,India,IN,West Bengal,,1077075,1077075
Rānchi,23.3600,85.3300,India,IN,Jhārkhand,admin,1073440,1073440
Gwalior,26.2215,78.1780,India,IN,Madhya Pradesh,,1069276,1069276
Chandīgarh,30.7500,76.7800,India,IN,Chandīgarh,admin,1055450,1055450
Vijayavāda,16.5193,80.6305,India,IN,Andhra Pradesh,,1048240,1048240
Jodhpur,26.2800,73.0200,India,IN,Rājasthān,,1033918,1033918
Raipur,21.2500,81.6300,India,IN,Chhattīsgarh,admin,1010087,1010087
Kota,25.1800,75.8300,India,IN,Rājasthān,,1001694,1001694
Kālkāji Devi,28.5485,77.2513,India,IN,Delhi,,824177,824177
Bhayandar,19.2900,72.8500,India,IN,Mahārāshtra,,809378,809378
Ambattūr,13.1143,80.1548,India,IN,Tamil Nādu,,466205,466205
Salt Lake City,22.6100,88.4000,India,IN,West Bengal,,403316,403316
Bhātpāra,22.8700,88.4100,India,IN,West Bengal,,386019,386019
Kūkatpalli,17.4849,78.4138,India,IN,Andhra Pradesh,,385821,385821
Darbhanga,26.1700,85.9000,India,IN,Bihār,,380125,380125
Dāsarhalli,13.0465,77.5130,India,IN,Karnātaka,,349720,349720
Muzaffarpur,26.1225,85.3906,India,IN,Bihār,,333200,333200
Oulgaret,11.9570,79.7737,India,IN,Puducherry,,300104,300104
New Delhi,28.6139,77.2090,India,IN,Delhi,primary,249998,249998
Tiruvottiyūr,13.1600,80.3000,India,IN,Tamil Nādu,,249446,249446
Puducherry,11.9167,79.8167,India,IN,Puducherry,admin,244377,244377
Byatarayanpur,13.0659,77.5922,India,IN,Karnātaka,,239902,239902
Pallāvaram,12.9675,80.1491,India,IN,Tamil Nādu,,215417,215417
Secunderābād,17.4399,78.4983,India,IN,Andhra Pradesh,,213698,213698
Shimla,31.1033,77.1722,India,IN,Himāchal Pradesh,admin,206575,206575
